player_name,pid,has_nba_photo,basketball_reference_id,has_basketball_reference_photo,check_error
Aaron Gordon,203932,yes,,,
Ace Bailey,1642846,yes,,,
Ajay Mitchell,1642349,yes,,,
Al Harrington,1733,no,harrial01,yes,
Al Horford,201143,yes,,,
Al Jefferson,2744,yes,,,
Alex Sarr,1642259,yes,,,
Allan Houston,275,yes,,,
Allen Iverson,947,yes,,,
Alonzo Mourning,297,yes,,,
Alperen Sengun,1630578,yes,,,
Alvin Robertson,926,no,roberal01,yes,
Alvin Williams,1541,no,willial02,yes,
Amar'e Stoudemire,2405,yes,,,
Amen Thompson,1641708,yes,,,
Andray Blatche,101154,no,blatcan01,yes,
Andre Drummond,203083,yes,,,
Andre Iguodala,2738,yes,,,
Andre Miller,1889,yes,,,
Andrei Kirilenko,1905,no,kirilan01,yes,
Andrew Bogut,101106,yes,,,
Andrew Bynum,101115,no,bynuman01,yes,
Andrew Nembhard,1629614,yes,,,
Andrew Wiggins,203952,yes,,,
Andris Biedrins,2740,no,biedran01,yes,
Anfernee Hardaway,358,yes,,,
Antawn Jamison,1712,no,jamisan01,yes,
Anthony Black,1641710,yes,,,
Anthony Davis,203076,yes,,,
Anthony Edwards,1630162,yes,,,
Anthony Mason,193,yes,,,
Antoine Carr,156,no,carran01,yes,
Antoine Walker,952,yes,,,
Antonio Davis,213,no,davisan01,yes,
Antonio McDyess,686,yes,,,
Armen Gilliam,288,no,gilliar01,yes,
Arvydas Sabonis,717,no,sabonar01,yes,
Ausar Thompson,1641709,yes,,,
Austin Reaves,1630559,yes,,,
Ayo Dosunmu,1630245,yes,,,
Bam Adebayo,1628389,yes,,,
Baron Davis,1884,yes,,,
Ben Simmons,1627732,yes,,,
Ben Wallace,1112,yes,,,
Bennedict Mathurin,1631097,yes,,,
Benoit Benjamin,104,no,benjabe01,yes,
Bernard King,77264,yes,,,
Bilal Coulibaly,1641731,yes,,,
Billy Owens,182,no,owensbi01,no,
Blair Rasmussen,78656,no,rasmubl01,yes,
Blake Griffin,201933,yes,,,
Bo Outlaw,448,yes,,,
Bobby Portis,1626171,yes,,,
Bonzi Wells,1719,yes,,,
Boris Diaw,2564,yes,,,
Brad Daugherty,921,no,daughbr01,yes,
Brad Miller,1802,yes,,,
Bradley Beal,203078,yes,,,
Brandin Podziemski,1641764,yes,,,
Brandon Clarke,1629634,yes,,,
Brandon Ingram,1627742,yes,,,
Brandon Jennings,201943,yes,,,
Brandon Miller,1641706,yes,,,
Brandon Roy,200750,no,roybr01,yes,
Brent Barry,699,yes,,,
Brevin Knight,1510,yes,,,
Brian Grant,258,yes,,,
Brook Lopez,201572,yes,,,
Bryant Reeves,735,no,reevebr01,yes,
Buddy Hield,1627741,yes,,,
Cade Cunningham,1630595,yes,,,
Caris LeVert,1627747,yes,,,
Carlos Boozer,2430,no,boozeca01,yes,
Carmelo Anthony,2546,yes,,,
Caron Butler,2406,yes,,,
Cedric Ceballos,76,no,cebalce01,yes,
Cedric Coward,1642907,yes,,,
Charles Barkley,787,yes,,,
Charles Oakley,891,yes,,,
Charles Smith,293,no,smithch01,yes,
Charlie Villanueva,101111,yes,,,
Chauncey Billups,1497,yes,,,
Chet Holmgren,1631096,yes,,,
Chris Bosh,2547,yes,,,
Chris Kaman,2549,yes,,,
Chris Morris,356,no,morrich01,yes,
Chris Mullin,904,yes,,,
Chris Paul,101108,yes,,,
Chris Webber,185,yes,,,
Christian Laettner,363,no,laettch01,yes,
Christian Wood,1626174,yes,,,
CJ McCollum,203468,yes,,,
Clar. Weatherspoon,221,no,,no,No Basketball Reference player found for 'Clar. Weatherspoon'
Clifford Robinson,361,no,robincl02,yes,
Clint Capela,203991,yes,,,
Clyde Drexler,17,yes,,,
Coby White,1629632,yes,,,
Collin Gillespie,1631221,yes,,,
Collin Sexton,1629012,yes,,,
Cooper Flagg,1642843,yes,,,
Corey Maggette,1894,no,maggeco01,yes,
Cuttino Mobley,1749,yes,,,
D'Angelo Russell,1626156,yes,,,
Dale Davis,905,yes,,,
Damian Lillard,203081,yes,,,
Damon Stoudamire,757,yes,,,
Dan Majerle,105,yes,,,
Dana Barros,344,no,barroda01,yes,
Daniel Gafford,1629655,yes,,,
Danilo Gallinari,201568,yes,,,
Danny Granger,101122,yes,,,
Danny Manning,330,yes,,,
Darius Garland,1629636,yes,,,
Darrell	Armstrong,353,yes,,,
David Lee,101135,yes,,,
David Robinson,764,yes,,,
David Wesley,133,yes,,,
David West,2561,yes,,,
De'Aaron Fox,1628368,yes,,,
Deandre Ayton,1629028,yes,,,
DeAndre Jordan,201599,yes,,,
Dee Brown,244,no,brownde01,yes,
Dejounte Murray,1627749,yes,,,
DeMar DeRozan,201942,yes,,,
DeMarcus Cousins,202326,yes,,,
Deni Avdija,1630166,yes,,,
Dennis Rodman,23,yes,,,
Dereck Lively II,1641726,yes,,,
Derek Harper,157,no,harpede01,yes,
Derik Queen,1642852,yes,,,
Deron Williams,101114,yes,,,
Derrick Coleman,934,yes,,,
Derrick Favors,202324,yes,,,
Derrick McKey,365,no,mckeyde01,yes,
Derrick Rose,201565,yes,,,
Derrick White,1628401,yes,,,
Desmond Bane,1630217,yes,,,
Detlef Schrempf,96,no,schrede01,yes,
Devin Booker,1626164,yes,,,
Devin Harris,2734,yes,,,
Devin Vassell,1630170,yes,,,
Dikembe Mutombo,87,yes,,,
Dillon Brooks,1628415,yes,,,
Dino Radja,129,no,radjadi01,no,
Dirk Nowitzki,1717,yes,,,
Domantas Sabonis,1627734,yes,,,
Dominique Wilkins,1122,yes,,,
Donovan Clingan,1642270,yes,,,
Donovan Mitchell,1628378,yes,,,
Donte DiVincenzo,1628978,yes,,,
Donyell Marshall,923,no,marshdo01,yes,
Doug Christie,57,yes,,,
Draymond Green,203110,yes,,,
Drazen Petrovic,77845,no,petrodr01,yes,
Drew Gooden,2400,yes,,,
Dwight Howard,2730,yes,,,
Dwyane Wade,2548,yes,,,
Dylan Cardwell,1642928,yes,,,
Dyson Daniels,1630700,yes,,,
Eddie Jones,224,yes,,,
Elden Campbell,922,yes,,,
Elfrid Payton,203901,yes,,,
Elton Brand,1882,yes,,,
Emeka Okafor,2731,yes,,,
Eric Bledsoe,202339,yes,,,
Eric Murdock,785,no,murdoer01,no,
Erick Dampier,956,yes,,,
Ervin Johnson,911,no,johnser02,yes,
Evan Mobley,1630596,yes,,,
Franz Wagner,1630532,yes,,,
Fred VanVleet,1627832,yes,,,
Gary Payton,56,yes,,,
Gerald Wallace,2222,no,wallage01,yes,
Gheorghe Muresan,49,no,muresgh01,yes,
Giannis Antetokounmpo,203507,yes,,,
Gilbert Arenas,2240,yes,,,
Glen Rice,779,no,ricegl01,yes,
Glenn Robinson,299,no,robingl01,yes,
Goran Dragic,201609,yes,,,
Gordon Hayward,202330,yes,,,
Grant Hill,255,yes,,,
Grant Long,3,no,longgr01,yes,
Grayson Allen,1628960,yes,,,
Greg Monroe,202328,yes,,,
Hakeem Olajuwon,165,yes,,,
Harvey Grant,265,no,grantha01,yes,
Hassan Whiteside,202355,yes,,,
Hedo Turkoglu,2045,yes,,,
